	2-1-10-T0-T	2-1-10-T1-T	2-1-10-T2-T	2-1-10-T3-T	2-1-5-T-minus-1	2-1-5-T1-T	2-1-5-T2-T	2-1-5-T3-T	2-1-6-T0-T	2-1-6-T3-T	2-1-8-T0-T	2-1-8-T1-T	2-1-8-T2-T	2-1-8-T3-T	2-2-2-T0-C	2-2-2-T1-C	2-2-2-T2-C	2-2-2-T3-C	2-2-4-T0-C	2-2-4-T1-C	2-2-4-T3-C	2-2-9-T0-C	2-2-9-T1-C	2-2-9-T3-C	3-1-1-T0-T	3-1-1-T1-T	3-1-1-T2-T	3-1-1-T3-T	3-1-2-T0-T	3-1-2-T1-T	3-1-2-T3-T	3-1-3-T0-T	3-1-3-T1-T	3-1-3-T2-T	3-1-3-T3-T	3-1-6-T-minus-1	3-1-6-T0-T	3-1-6-T1-T	3-1-6-T2-T	3-1-6-T3-T	3-3-1-T0-C	3-3-1-T1-C	3-3-1-T2-C	3-3-1-T3-C	3-3-3-T0-C	3-3-3-T1-C	3-3-3-T2-C	3-3-3-T3-C	3-3-4-T-minus-1	3-3-4-T0-C	3-3-4-T1-C	3-3-4-T2-C	3-3-4-T3-C	7-4-10-T2-T	7-4-4-T1-T	7-4-4-T2-T	7-4-4-T3-T	7-4-5-T2-T	7-4-5-T3-T	7-4-8-T0-T	7-4-8-T1-T	7-4-8-T2-T	7-4-8-T3-T	7-6-1-T0	7-6-2-T2-C	7-6-8-T1-C	8-4-1-T2-T	8-4-4-T0-T	8-4-4-T1-T	8-4-6-T1-T	8-4-6-T3-T	8-4-9-T0-T	8-4-9-T1-T	8-4-9-T3-T	8-5-4-T0-C	8-5-5-T0-C	8-6-10-T1-C	8-6-4-T2-C	8-6-5-T1-C	8-6-5-T2-C	8-6-5-T3-C	Cyclops-3	pop1-1	pop1-10	pop1-2	pop1-3	pop1-4	pop1-6	pop1-7	pop1-8	pop1-9	pop10-1	pop10-10	pop10-2	pop10-3	pop10-4	pop10-5	pop10-6	pop10-7	pop10-8	pop10-9	pop11-1	pop11-10	pop11-2	pop11-3	pop11-4	pop11-5	pop11-6	pop11-7	pop11-8	pop11-9	pop12-2	pop12-5	pop12-9	pop2-4	pop2-5	pop3-4	pop4-1	pop4-10	pop4-2	pop4-3	pop4-4	pop4-6	pop4-7	pop4-8	pop4-9	pop5-1	pop5-10	pop5-2	pop5-3	pop5-4	pop5-5	pop5-6	pop5-8	pop5-9	pop6-1	pop6-10	pop6-2	pop6-3	pop6-4	pop6-5	pop6-6	pop6-7	pop6-8	pop6-9	pop7-1	pop7-10	pop7-2	pop7-3	pop7-4	pop7-5	pop7-6	pop7-7	pop7-8	pop7-9	pop8-2	pop8-3	pop8-4	pop8-5	pop8-6	pop8-7	pop8-8	pop8-9	pop9-1	pop9-10	pop9-2	pop9-4	pop9-5	pop9-6	pop9-7	pop9-8	pop9-9	WMC-T0	WMC-T1	WMC-T2	WMC-T3	WMT-T0	WMT-T1	WMT-T2	WMT-T3	WPC-T0	WPC-T1	WPC-T2	WPC-T3	WPT-T0	WPT-T1	WPT-T2	WPT-T3
ASV_11	1	0	0	0	0	0	2	3	0	2	2	0	0	0	1	1	0	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	2	1	0	1	1	1	2	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	44	5	90	43	101	47	43	67	117	235	18	153	23	81	58	185	80	48	168	5	20	180	208	70	9	255	242	37	11	0	0	1	66	45	0	59	247	71	190	257	40	153	29	195	49	24	72	13	9	10	37	61	41	146	33	147	223	65	97	180	80	32	20	22	28	74	33	80	79	80	63	121	96	18	52	164	15	22	40	25	14	170	233	20	83	27	50	15	90	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	201	169	80	224	50	129	100	241	32	261	165	188	17	447	196	279	45	307	120	62	84	106	59	27	21	3	7	18	26	30	29	9	38	16	69	12	75	54	70	35	12	22	4	97	19	32	6	57	12	22	58	26	90	224	148	98	88	15	63	126	200	137	153	114	35	10	82	24	48	110	104	15	74	30	20	4	24	44	37	43	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	2	0	0	2	1	2	0	0	0	0	0	0	0	2	0	3	3	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	33	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6292	46
ASV_14	64	1	1	0	0	9	0	0	8	0	0	0	0	0	172	88	46	3	11	9	11	0	5	8	3	0	2	0	92	74	2	39	32	0	4	3	23	0	17	2	81	173	14	971	52	97	6	342	0	96	89	26	126	377	596	167	45	30	0	42	197	69	30	38	176	38	287	0	1	58	2	1	2	0	8	19	0	0	9	28	16	0	0	3	0	0	3	15	2	0	4	53	36	21	10	23	49	27	20	4	32	20	62	65	110	49	65	47	289	54	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	3	5	0	0	0	0	4	1	6	3	10	41	0	17	30	0	5	0	0	3	0	0	0	7	2	1	21	8	2	0	1	53	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	536	182	240	902	219	351	216	474	129	79	79	669	242	313	445
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	394	152	205	781	190	249	214	428	68	104	79	654	252	244	231
ASV_17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	4	0	0	0	4	0	5	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	17	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	70	0	0	0	19	0	1	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	21	0	5	11	13	9	7	68	559	0	12	9	3534
ASV_19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	318	156	206	609	181	162	222	352	71	63	78	509	210	211	294
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	220	117	151	605	124	128	159	294	30	52	47	448	134	122	195
