sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
pop9-6	9.10.2	9.4.2	9.4	2	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop9-7	9.11.1	9.5.1	9.5	1	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	90	100	NormalS	Sensible	Sensible	Sensible	coral	
pop9-8	9.11.4	9.5.4	9.5	4	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	80	100	NormalS	Sensible	Sensible	Sensible	coral	
pop9-9	9.12.4	9.6.4	9.6	4	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	60	100	NormalS	Sensible	Sensible	Sensible	coral	
pop9-10	9.12.7	9.6.7	9.6	7	T-1	O	pred	Indiano	Portofino	19.71	35_37	35_40	44.312476	9.166889	90	100	NormalS	Sensible	Sensible	Sensible	coral	
E-8-4-1-T-minus-1	na	8.4.1	8.4	1	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-1-T0-T	na	8.4.1	8.4	1	T0	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-1-T1-T	na	8.4.1	8.4	1	T1	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-1-T2-T	na	8.4.1	8.4	1	T2	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-1-T3-T	na	8.4.1	8.4	1	T3	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-4-T-minus-1	na	8.4.4	8.4	4	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-4-T0-T	na	8.4.4	8.4	4	T0	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-4-T1-T	na	8.4.4	8.4	4	T1	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-4-T2-T	na	8.4.4	8.4	4	T2	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-4-T3-T	na	8.4.4	8.4	4	T3	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-4-6-T-minus-1	na	8.4.6	8.4	6	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	5	30	NormalR	Normal	Resistant	Normal	coral	
E-8-4-6-T0-T	na	8.4.6	8.4	6	T0	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	5	30	NormalR	Normal	Resistant	Normal	coral	
E-8-4-6-T1-T	na	8.4.6	8.4	6	T1	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	5	30	NormalR	Normal	Resistant	Normal	coral	
E-8-4-6-T2-T	na	8.4.6	8.4	6	T2	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	5	30	NormalR	Normal	Resistant	Normal	coral	
E-8-4-6-T3-T	na	8.4.6	8.4	6	T3	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	5	30	NormalR	Normal	Resistant	Normal	coral	
E-8-4-9-T-minus-1	na	8.4.9	8.4	9	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	20	Resistant	NormalR	Resistant	Normal	coral	
E-8-4-9-T0-T	na	8.4.9	8.4	9	T0	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	20	Resistant	NormalR	Resistant	Normal	coral	
E-8-4-9-T1-T	na	8.4.9	8.4	9	T1	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	20	Resistant	NormalR	Resistant	Normal	coral	
E-8-4-9-T2-T	na	8.4.9	8.4	9	T2	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	20	Resistant	NormalR	Resistant	Normal	coral	
E-8-4-9-T3-T	na	8.4.9	8.4	9	T3	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	20	Resistant	NormalR	Resistant	Normal	coral	
E-8-5-5-T0-C	na	8.5.5	8.5	5	T0	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	95	Resistant	NormalS	Tolerant	Normal	coral	
E-8-5-5-T-minus-1	na	8.5.5	8.5	5	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	95	Resistant	NormalS	Tolerant	Normal	coral	
E-8-6-4-T1-C	na	8.6.4	8.6	4	T1	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-6-4-T2-C	na	8.6.4	8.6	4	T2	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-6-4-T3-C	na	8.6.4	8.6	4	T3	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	50	Resistant	Normal	Resistant	Normal	coral	
E-8-6-5-T1-C	na	8.6.5	8.6	5	T1	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	25	Resistant	NormalR	Resistant	Normal	coral	
E-8-6-5-T2-C	na	8.6.5	8.6	5	T2	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	25	Resistant	NormalR	Resistant	Normal	coral	
E-8-6-5-T3-C	na	8.6.5	8.6	5	T3	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	25	Resistant	NormalR	Resistant	Normal	coral	
pop8-1	8.10.2	8.4.2	8.4	2	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop8-2	8.10.5	8.4.5	8.4	5	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop8-3	8.11.6	8.5.6	8.5	6	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop8-4	8.11.7	8.5.7	8.5	7	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
E-8-6-10-T1-C	na	8.6.10	8.6	10	T1	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
E-8-6-10-T3-C	na	8.6.10	8.6	10	T3	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
E-8-6-10-T2-T	na	8.6.10	8.6	10	T2	T	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop8-5	8.12.10	8.6.10	8.6	10	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
E-8-5-4-T0-C	na	8.5.4	8.5	4	T0	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	70	100	NormalS	Sensible	Sensible	Sensible	coral	
E-8-5-4-T-minus-1	na	8.5.4	8.5	4	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	70	100	NormalS	Sensible	Sensible	Sensible	coral	
pop8-6	8.11.4	8.5.4	8.5	4	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	70	100	NormalS	Sensible	Sensible	Sensible	coral	
pop8-7	8.11.9	8.5.9	8.5	9	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	15	100	NormalR	Sensible	Tolerant	Sensible	coral	
E-8-5-10-T0-C	na	8.5.10	8.5	10	T0	C	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	20	100	NormalR	Sensible	Tolerant	Sensible	coral	
E-8-5-10-T-minus-1	na	8.5.10	8.5	10	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	20	100	NormalR	Sensible	Tolerant	Sensible	coral	
pop8-8	8.11.10	8.5.10	8.5	10	T-1	O	red	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	20	100	NormalR	Sensible	Tolerant	Sensible	coral	
pop8-9	8.12.6	8.6.6	8.6	6	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	0	60	Resistant	NormalS	Tolerant	Sensible	coral	
pop8-10	8.12.8	8.6.8	8.6	8	T-1	O	pred	Lighthouse	Portofino	19.71	35_37	35_40	44.312476	9.166889	30	100	Normal	Sensible	Tolerant	Sensible	coral	
E-WPC-T0	water	water	water	water	T0	C	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPC-T1	water	water	water	water	T1	C	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPC-T2	water	water	water	water	T2	C	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPC-T3	water	water	water	water	T3	C	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPT-T0	water	water	water	water	T0	T	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPT-T1	water	water	water	water	T1	T	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPT-T2	water	water	water	water	T2	T	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
E-WPT-T3	water	water	water	water	T3	T	water	water	Portofino		water	water	water	water	water	water	water	water	water	water	water	
pop12-2	12.10.4	12.4.4	12.4	4	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop12-3	12.10.8	12.4.8	12.4	8	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop12-4	12.11.6	12.5.6	12.5	6	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop12-1	12.11.8	12.5.8	12.5	8	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop12-5	12.11.10	12.5.10	12.5	10	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Resistant	coral	
pop12-6	12.10.5	12.4.5	12.4	5	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	10	100	NormalR	Sensible	Tolerant	Sensible	coral	
pop12-7	12.12.2	12.6.2	12.6	2	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	10	100	NormalR	Sensible	Tolerant	Sensible	coral	
pop12-8	12.12.7	12.6.7	12.6	7	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	0	0	Resistant	Resistant	Superresistant	Sensible	coral	
pop12-9	12.12.8	12.6.8	12.6	8	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	90	100	NormalS	Sensible	Sensible	Sensible	coral	
pop12-10	12.12.10	12.6.10	12.6	10	T-1	O	yellow	Sagres	Portugal	18.15	15	10_15	37.012129	-8.924541	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop6-5	6.10.8	6.3.8	6.3	3	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	30	100	Normal	Sensible	Tolerant	Resistant	coral	Estimated relative_resistance
pop6-7	6.9.2	6.2.2	6.2	2	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	100	100	Sensible	Sensible	Hypersensible	Normal	coral	
pop6-8	6.9.5	6.2.5	6.2	5	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	100	100	Sensible	Sensible	Hypersensible	Normal	coral	
pop6-1	6.7.2	6.1.2	6.1	2	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop6-2	6.7.4	6.1.4	6.1	4	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	40	100	Normal	Sensible	Tolerant	Resistant	coral	
pop6-3	6.7.7	6.1.7	6.1	7	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	5	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop6-4	6.7.9	6.1.9	6.1	9	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	15	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop6-6	6.7.3	6.1.3	6.1	3	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop6-9	6.9.1	6.3.1	6.3	1	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop6-10	6.9.10	6.3.10	6.3	10	T-1	O	pred	Gargallu	Scandola	21.82	25_26	26_30	42.371839	8.534394	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop5-9	5.10.1	5.3.1	5.3	1	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	80	100	NormalS	Sensible	Sensible	Sensible	coral	Estimated relative_resistance
pop5-4	5.10.4	5.3.4	5.3	4	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	5	100	NormalR	Sensible	Tolerant	Normal	coral	Estimated relative_resistance
pop5-5	5.10.8	5.3.8	5.3	8	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	0	100	Resistant	Sensible	Tolerant	Resistant	coral	Estimated relative_resistance
pop5-10	5.10.10	5.3.10	5.3	10	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	90	100	NormalS	Sensible	Sensible	Sensible	coral	Estimated relative_resistance
pop5-1	5.7.6	5.1.6	5.1	6	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	10	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop5-2	5.7.8	5.1.8	5.1	8	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop5-3	5.9.4	5.2.4	5.2	4	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop5-6	5.7.3	5.1.3	5.1	3	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
pop5-7	5.9.1	5.2.1	5.2	1	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop5-8	5.9.10	5.2.10	5.2	10	T-1	O	pred	Palazzinu	Scandola	21.82	25_27	26_30	42.379854	8.549999	80	100	NormalS	Sensible	Sensible	Sensible	coral	
pop4-4	4.10.2	4.3.2	4.3	2	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	0	100	Resistant	Sensible	Tolerant	Resistant	coral	Estimated relative_resistance
pop4-5	4.10.4	4.3.4	4.3	4	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	20	100	NormalR	Sensible	Tolerant	Resistant	coral	Estimated relative_resistance
pop4-10	4.10.10	4.3.10	4.3	10	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	Estimated relative_resistance
pop4-7	4.9.1	4.2.1	4.2	1	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	100	100	Sensible	Sensible	Hypersensible	Normal	coral	
pop4-3	4.9.3	4.2.3	4.2	3	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	20	100	NormalR	Sensible	Tolerant	Normal	coral	
pop4-8	4.9.7	4.2.7	4.2	7	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	100	100	Sensible	Sensible	Hypersensible	Normal	coral	
pop4-9	4.9.8	4.2.8	4.2	8	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	100	100	Sensible	Sensible	Hypersensible	Normal	coral	
pop4-1	4.7.2	4.1.2	4.1	2	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	0	100	Resistant	Sensible	Tolerant	Resistant	coral	
pop4-2	4.7.10	4.1.10	4.1	10	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	20	100	NormalR	Sensible	Tolerant	Resistant	coral	
pop4-6	4.7.1	4.1.1	4.1	1	T-1	O	pred	Palazzu	Scandola	21.82	24_25	21_25	42.379873	8.546163	100	100	Sensible	Sensible	Hypersensible	Sensible	coral	
