sample	treament	idlab	rack	colony	time	treatment	color	population	region	temps	depth (m)	depth (range)	lat	lon	N14	N21	resistance_14	resistance_21	resitance_14_21	relative_resistance	type	
E-2-2-4-T0-C	2.8.4	2.2.4	2.2	4	T0	C	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
E-2-2-4-T1-C	2.8.4	2.2.4	2.2	4	T1	C	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
E-2-2-4-T2-C	2.8.4	2.2.4	2.2	4	T2	C	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
E-2-2-4-T3-C	2.8.4	2.2.4	2.2	4	T3	C	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
E-2-2-4-T-minus-1	2.8.4	2.2.4	2.2	4	T-1	O	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop2-9	2.8.4	2.2.4	2.2	4	T-1	O	red	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	60	100	Normal	Sensible	Sensible	Sensible	coral	
pop2-10	2.9.6	2.3.6	2.3	6	T-1	O	pred	Pota de Llop	Medes 	21.95	14_15	10_15	42.0497	3.2254	90	100	NormalS	Sensible	Sensible	Sensible	coral	
E-3-1-1-T2-C	na	3.1.1	3.1	1	T2	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-1-T-minus-1	na	3.1.1	3.1	1	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-1-T0-T	na	3.1.1	3.1	1	T0	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-1-T1-T	na	3.1.1	3.1	1	T1	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-1-T3-T	na	3.1.1	3.1	1	T3	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	30	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-2-T2-C	na	3.1.2	3.1	2	T2	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	40	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-2-T-minus-1	na	3.1.2	3.1	2	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	40	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-2-T0-T	na	3.1.2	3.1	2	T0	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	40	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-2-T1-T	na	3.1.2	3.1	2	T1	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	40	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-2-T3-T	na	3.1.2	3.1	2	T3	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	40	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-1-3-T-minus-1	na	3.1.3	3.1	3	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	25	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-3-T0-T	na	3.1.3	3.1	3	T0	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	25	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-3-T1-T	na	3.1.3	3.1	3	T1	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	25	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-3-T2-T	na	3.1.3	3.1	3	T2	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	25	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-3-T3-T	na	3.1.3	3.1	3	T3	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	25	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-6-T-minus-1	na	3.1.6	3.1	6	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-6-T0-T	na	3.1.6	3.1	6	T0	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-6-T1-T	na	3.1.6	3.1	6	T1	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-6-T2-T	na	3.1.6	3.1	6	T2	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-1-6-T3-T	na	3.1.6	3.1	6	T3	T	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Normal	coral	
E-3-3-3-T0-C	na	3.3.3	3.3	3	T0	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	50	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-3-T1-C	na	3.3.3	3.3	3	T1	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	50	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-3-T2-C	na	3.3.3	3.3	3	T2	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	50	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-3-T3-C	na	3.3.3	3.3	3	T3	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	50	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-3-T-minus-1	na	3.3.3	3.3	3	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	50	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-4-T0-C	na	3.3.4	3.3	4	T0	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	35	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-4-T1-C	na	3.3.4	3.3	4	T1	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	35	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-4-T2-C	na	3.3.4	3.3	4	T2	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	35	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-4-T3-C	na	3.3.4	3.3	4	T3	C	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	35	100	Normal	Sensible	Tolerant	Normal	coral	
E-3-3-4-T-minus-1	na	3.3.4	3.3	4	T-1	O	red	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	35	100	Normal	Sensible	Tolerant	Normal	coral	
pop3-1	3.7.10	3.1.10	3.1	10	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	0	90	Resistant	NormalS	Tolerant	Resistant	coral	
pop3-2	3.8.2	3.2.2	3.2	2	T-1	O	pred	Tascons	Medes 	21.95	15_17	16_20	42.042189	3.2269	20	100	NormalR	Sensible	Tolerant	Resistant	coral	
